longitude,latitude
-0.10830079,51.51787943
-0.08814351,51.50703105
-0.10758431,51.51777795
-0.10758431,51.51777795
-0.10758431,51.51777795
-0.10916876,51.5178035
-0.07415364,51.51448179
-0.07414075,51.5144456
-0.10773208,51.51769041
-0.09740409,51.51995142
-0.09740409,51.51995142
-0.07878803,51.52045707
-0.09142928,51.51805573
-0.08858133,51.51378274
-0.08858133,51.51378274
-0.10800776,51.5110402
-0.0965382,51.5165201
-0.08138377,51.51357523
-0.10202652,51.51624932
-0.10202652,51.51624932
-0.10202652,51.51624932
-0.10202652,51.51624932
-0.08049353,51.51760736
-0.08246423,51.51530153
-0.08246423,51.51530153
-0.07370108,51.51461823
-0.09702651,51.51517911
-0.07868131,51.5127216
-0.08160335,51.51178028
-0.08035328,51.51751513
-0.08394228,51.51442643
-0.07960283,51.51822226
-0.10513188,51.51782829
-0.10393042,51.51205351
-0.08657711,51.51689749
-0.08536372,51.51489929
-0.0944752,51.51414847
-0.08424097,51.51074431
-0.09903367,51.51197426
-0.09903367,51.51197426
-0.07913637,51.51560672
-0.08939927,51.51145796
-0.09353457,51.51251447
-0.09131286,51.51049992
-0.08611402,51.51419212
-0.08473409,51.51273076
-0.10267157,51.51113387
-0.09469573,51.51577075
-0.07656641,51.51160778
-0.0866855,51.51087414
-0.10743169,51.51103091
-0.0867081,51.51033495
-0.0867081,51.51033495
-0.08763149,51.51925281
-0.08763149,51.51925281
-0.0829001,51.51521872
-0.07932926,51.51102361
-0.07787036,51.51486655
-0.10426395,51.51443299
-0.08737547,51.51160482
-0.08080052,51.51716275
-0.07613435,51.51160068
-0.09332673,51.51403986
-0.08067833,51.50978674
-0.09268507,51.51214994
-0.07309855,51.51182058
-0.09374615,51.51089921
-0.08444227,51.51281591
-0.10758059,51.51786782
-0.09725255,51.52012881
-0.10699589,51.5111138
-0.08716275,51.5098028
-0.10436775,51.50846346
-0.07958014,51.51876144
-0.08233919,51.51553329
-0.08049732,51.51751749
-0.10800403,51.51113006
-0.10429531,51.5136781
-0.08990014,51.51326467
-0.08889196,51.51324824
-0.07911396,51.51956315
-0.08873389,51.51702261
-0.10662076,51.51668327
-0.08218319,51.51169985
-0.10787366,51.51427543
-0.0789283,51.5205493
-0.10941331,51.51537939
-0.07974687,51.51822461
-0.08025384,51.50959993
-0.09676093,51.51463524
-0.08437505,51.51785073
-0.08156227,51.51618603
-0.09131286,51.51049992
-0.10417367,51.51313657
-0.08520009,51.51192902
-0.08155092,51.51645562
-0.10060113,51.51586654
-0.10045709,51.51586421
-0.10454757,51.51107427
-0.07541047,51.51167872
-0.10887187,51.51105414
-0.08156604,51.51609616
-0.09662976,51.51778058
-0.09318645,51.51394765
-0.09383012,51.51233943
-0.10060113,51.51586654
-0.0884373,51.51378039
-0.08080807,51.51698302
-0.08655278,51.51060219
-0.08710625,51.51115079
-0.10287579,51.51662277
-0.09569117,51.51263945
-0.09812807,51.51987323
-0.10623713,51.51550802
-0.0968204,51.52012179
-0.08455765,51.51178364
-0.08795722,51.51835885
-0.10758431,51.51777795
-0.09914762,51.51961997
-0.08696223,51.51114844
-0.11106091,51.51387716
-0.10773208,51.51769041
-0.08625805,51.51419447
-0.10772834,51.51778028
-0.10490351,51.51638576
-0.09511132,51.51271996
-0.10045709,51.51586421
-0.10467665,51.51143606
-0.08474163,51.51255102
-0.0817063,51.51618839
-0.07589562,51.51384494
-0.09738535,51.52040075
-0.11375951,51.51832703
-0.0872578,51.51097341
-0.08095211,51.51698538
-0.10729995,51.51768344
-0.07995107,51.5133719
-0.08364667,51.51460145
-0.07527024,51.51158649
-0.10513561,51.51773842
-0.08778494,51.51215106
-0.07602752,51.51379316
-0.08727378,51.51403119
-0.10226398,51.51400497
-0.09418714,51.51414379
-0.10478187,51.51584423
-0.08067833,51.50978674
-0.08067833,51.50978674
-0.10482068,51.51143839
-0.08904456,51.5164881
-0.08904456,51.5164881
-0.08267189,51.51035894
-0.10941331,51.51537939
-0.08630242,51.50969883
-0.08186544,51.51583129
-0.09719136,51.51122496
-0.09026077,51.51497917
-0.0873143,51.50962542
-0.10431397,51.51322876
-0.10431397,51.51322876
-0.1104561,51.51107966
-0.1104561,51.51107966
-0.09760639,51.51509859
-0.08356742,51.51648862
-0.07928449,51.51893645
-0.08458629,51.51281826
-0.10188623,51.51615713
-0.11204032,51.51110517
-0.10437368,51.51179088
-0.08989262,51.5134444
-0.09237112,51.51276534
-0.07928449,51.51893645
-0.0898362,51.51479239
-0.07717657,51.51080845
-0.10658111,51.51416465
-0.10513561,51.51773842
-0.10941331,51.51537939
-0.08186544,51.51583129
-0.08669391,51.51411166
-0.08682576,51.51096636
-0.0885211,51.51522059
-0.08181534,51.51016507
-0.0920292,51.51060151
-0.08185789,51.51601102
-0.10454978,51.51449157
-0.10454978,51.51449157
-0.09068793,51.51165881
-0.09068793,51.51165881
-0.09725379,51.51491302
-0.09251137,51.51285755
-0.10434383,51.51250982
-0.10434383,51.51250982
-0.09289222,51.51753998
-0.10527966,51.51774075
-0.10874156,51.5141995
-0.10160015,51.51956975
-0.09740035,51.52004128
-0.08314922,51.50928762
-0.08314922,51.50928762
-0.10801769,51.51427776
-0.08695847,51.5112383
-0.10287579,51.51662277
-0.08816806,51.51332636
-0.10888559,51.51420183
-0.08915096,51.51738912
-0.08902469,51.51352019
-0.08902469,51.51352019
-0.11106091,51.51387716
-0.08128553,51.51591172
-0.07941687,51.51579117
-0.08751571,51.51169703
-0.08751571,51.51169703
