,x,y,fold
5206,-0.5052188605529979,51.4688935761453,1
5207,-0.500525814904888,51.4688336596002,1
5358,-0.500429723911981,51.471764786475404,1
5510,-0.500333616687565,51.474695911747105,1
5662,-0.5002374932280209,51.477627035415296,1
5814,-0.500141353529728,51.4805581574799,1
11896,-0.496475976199238,51.591939607817004,1
12062,-0.496379200353941,51.5948706673508,1
12227,-0.4962824081241629,51.59780172528129,1
12718,-0.49599193309128703,51.606594889453795,1
5056,-0.49592916072023496,51.465842433084894,1
12882,-0.495895075286918,51.6095259409716,1
5208,-0.495832785484696,51.468773555294106,1
13046,-0.49579820107972705,51.612456990886095,1
5359,-0.49573639397056796,51.471704675899,1
5511,-0.49563998617422106,51.4746357948996,1
5663,-0.49554356209202505,51.4775669122958,1
13489,-0.49550748000449896,51.621250131010896,1
5815,-0.495447121720349,51.480498028087794,1
13619,-0.49541054014929,51.6241811745128,1
5966,-0.495350665055558,51.4834291422755,1
13742,-0.495313583872889,51.627112216411604,1
6117,-0.495254192094019,51.486360254859,1
13855,-0.49521661117161797,51.630043256707204,1
6269,-0.4951577028320979,51.4892913658381,1
11564,-0.491964388816569,51.58601712819571,1
11730,-0.49186734317078595,51.5889481846335,1
11897,-0.49177028109668897,51.591879239467296,1
12063,-0.49167320259060204,51.594810292697,1
12228,-0.491576107648848,51.5977413443227,1
12392,-0.49147899626775,51.6006723943444,1
12555,-0.491381868443629,51.6036034427621,1
4908,-0.491333107422326,51.4628510297831,1
12719,-0.491284724172806,51.6065344895757,1
5057,-0.491236448045539,51.465782147308396,1
12883,-0.491187563451598,51.60946553478539,1
5209,-0.4911397723431061,51.4687132632285,1
13047,-0.49109038627632395,51.612396578391,1
5360,-0.49104308031138705,51.4716443775435,1
13207,-0.490993192643302,51.615327620392705,1
5512,-0.49094637194674,51.4745754902534,1
13352,-0.490895982548844,51.618258660790396,1
5664,-0.490849647245524,51.4775066013582,1
13490,-0.49079875598926903,51.62118969958421,1
5816,-0.490752906204096,51.4804377108579,1
13620,-0.490701512960886,51.624120736773904,1
5967,-0.490656148818812,51.4833688187526,1
13743,-0.49060425346000996,51.6270517723598,1
6118,-0.490559375086026,51.486299925042104,1
13856,-0.49050697748295097,51.6299828063416,1
6270,-0.49046258500209206,51.489231029726604,1
6421,-0.49036577856336294,51.4921621328059,1
7625,-0.4895907378428189,51.5156108996593,1
7778,-0.489493784046608,51.51854198829329,1
8556,-0.48900876912235797,51.5331974073885,1
8714,-0.488911716923235,51.536128486392606,1
8874,-0.48881464831080496,51.5390595637917,1
9035,-0.48871756328140004,51.5419906395859,1
9196,-0.488620461831354,51.5449217137751,1
11064,-0.487551261068402,51.577163423931296,1
11398,-0.48735664703150605,51.5830255321869,1
11565,-0.487259315306739,51.585956583907496,1
11731,-0.48716196710618,51.5888876340232,1
11898,-0.48706460242614397,51.591818682534,1
12064,-0.486967221262943,51.594749729440004,1
12229,-0.48686982361289,51.59768077474111,1
12393,-0.486772409472296,51.6006118184375,1
12556,-0.48667497883746996,51.6035428605289,1
4909,-0.486640711485843,51.462790562576,1
12720,-0.48657753170472207,51.606473901015605,1
5058,-0.48654375169648795,51.465721673793404,1
12884,-0.4864800680703571,51.6094049398975,1
5210,-0.4864467755308,51.46865278340489,1
13048,-0.48638258793068395,51.61233597717461,1
5361,-0.48634978298513004,51.4715838914105,1
13208,-0.48628509128200703,51.61526701284679,1
5513,-0.486252774055826,51.4745149978102,1
13353,-0.48618757812063107,51.6181980469143,1
5665,-0.48615574873923295,51.477446102603906,1
13491,-0.4860900484428579,51.621129079377006,1
5817,-0.486058707031698,51.4803772057918,1
13621,-0.48599250224499,51.6240601102349,1
5968,-0.485961648929565,51.483308307373704,1
6119,-0.48586457442917896,51.4862394073498,1
6271,-0.48576748352687893,51.489170505720004,1
6422,-0.48567037621901,51.49210160248429,1
6574,-0.48557325250190897,51.495032697642706,1
6725,-0.48547611237191707,51.497963791195296,1
7472,-0.4849901654003621,51.51261923487039,1
7626,-0.484892926716074,51.5155503187879,1
7779,-0.48479567159323605,51.518481401099606,1
7934,-0.484698400028176,51.5214124818055,1
8089,-0.48460111201722494,51.5243435609056,1
8244,-0.48450380755671,51.5272746383998,1
8399,-0.48440648664295793,51.5302057142883,1
8557,-0.484309149272293,51.53313678857099,1
8715,-0.48421179544104204,51.5360678612479,1
8875,-0.48411442514552505,51.538998932319004,1
9036,-0.484017038382067,51.5419300017844,1
9197,-0.48391963514698705,51.544861069644,1
9359,-0.48382221543660603,51.5477921358978,1
11065,-0.482847111380776,51.57710271012079,1
11233,-0.482749510198867,51.5800337587117,1
11399,-0.48265189249740603,51.582964805696896,1
11566,-0.482554258272698,51.5858958510765,1
11732,-0.48245660752104996,51.5888268948504,1
